round_number,num_assets,num_states,asseta_endowments,assetb_endowments,cash_endowment,practice,x,G,L,p1,p2,p3,state_independent
1,1,2,1,1,300,TRUE,100,80,20,0.2,0,0.8,TRUE
2,1,2,1,1,300,TRUE,100,80,20,0.2,0,0.8,TRUE
3,1,2,1,1,300,TRUE,100,-80,-20,0.2,0,0.8,TRUE
4,1,2,1,1,300,TRUE,100,-80,-20,0.2,0,0.8,TRUE
5,1,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
6,1,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
7,1,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
8,1,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
9,1,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
10,1,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
11,1,2,1,1,300,FALSE,100,-80,-20,0.2,0,0.8,TRUE
12,1,2,1,1,300,FALSE,100,-80,-20,0.2,0,0.8,TRUE
13,1,2,1,1,300,FALSE,100,-80,-20,0.2,0,0.8,TRUE
14,1,2,1,1,300,FALSE,100,-80,-20,0.2,0,0.8,TRUE
15,1,2,1,1,300,FALSE,100,-80,-20,0.2,0,0.8,TRUE
16,1,2,1,1,300,FALSE,100,-80,-20,0.2,0,0.8,TRUE
17,1,2,1,1,300,FALSE,100,-80,-20,0.2,0,0.8,TRUE
18,1,2,1,1,300,FALSE,100,-80,-20,0.2,0,0.8,TRUE
19,1,2,1,1,300,FALSE,100,-80,-20,0.2,0,0.8,TRUE
20,1,2,1,1,300,FALSE,100,-80,-20,0.2,0,0.8,TRUE
21,1,2,1,1,300,FALSE,100,-80,-20,0.2,0,0.8,TRUE
22,1,2,1,1,300,FALSE,100,-80,-20,0.2,0,0.8,TRUE
23,1,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
24,1,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
25,1,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
26,1,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
27,1,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
28,1,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
